# Release Date  : 20231205023936
# Start Field Description
# Dot#        4-character identifier for a given station
# Name        16-character station name
# Ref_epoch   Date and time at which the station position is as given in ref_XYZ and ref_NEU. Format is YYYYMMDDhhmmss.
# Ref_jday    Reference epoch, represented as Modified Julian day
# Ref_X       Reference X coordinate at Ref_epoch, meters
# Ref_Y       Reference Y coordinate at Ref_epoch, meters
# Ref_Z       Reference Z coordinate at Ref_epoch, meters
# Ref_Nlat    Reference North latitude WGS-84 ellipsoid, decimal degrees
# Ref_Elong   Reference East Longitude WGS-84 ellipsoid, decimal degrees
# Ref_Up      Reference Height  WGS-84 ellipsoid, meters 
# dX/dt       X component of station velocity, meters/yr
# dY/dt       Y component of station velocity, meters/yr
# dZ/dt       Z component of station velocity, meters/yr
# SXd         Standard deviation of X velocity, meters/yr
# SYd         Standard deviation of Y velocity,  meters/yr
# SZd         Standard deviation of Z velocity,  meters/yr
# Rxy         Correlation of X and Y velocity
# Rxz         Correlation of X and Z velocity
# Ryz         Correlation of Y and Z velocity, 
# dN/dt       North component of station velocity, meters/yr
# dE/dt       East component of station velocity, meters/yr
# dU/dt       Vertical component of station velocity, meters/yr
# SNd         Standard deviation of North velocity, meters/yr
# SEd         Standard deviation of East velocity, meters/yr
# SUd         Standard deviation of vertical velocity, meters/yr
# Rne         Correlation of North and East velocity
# Rnu         Correlation of North and vertical velocity
# Reu         Correlation of East and vertical velocity
# first_epoch Epoch of first data used to derive the station velocity, in the same format as ref_epoch.
# last_epoch  Epoch of last data used to derive the station velocity, in the same format as ref_epoch.
# End Field Description 
#Dot#,Type,Ref_epoch,Ref_jday,Ref_X,Ref_Y,Ref_Z,Ref_Nlat,Ref_Elong,Ref_Up,dX/dt,dY/dt,dZ/dt,SXd,SYd,SZd,Rxy,Rxz,Rzy,dN/dt,dE/dt,dU/dt,SNd,SEd,SUd,Rne,Rnu,Reu,first_epoch,last_epoch,n_observations
0370,survey,19940216120000,49399.5000,-2510014.95839,-4636454.77120,3579431.99471,34.3522426970,241.5704305028,1169.70920,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01570,-0.00455,0.02647,0.00719,0.00705,0.01095,-0.000,NaN,NaN,19920413130000,19940216120000,7
0435,survey,20000510120000,51674.5000,-2428596.32406,-4715450.06122,3531079.32555,33.8304630342,242.7501924861,428.39263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02211,-0.03616,0.00013,0.00189,0.00177,0.00871,-0.000,NaN,NaN,19980611140000,20000515130000,6
04AL,survey,20050724120000,53575.5000,-2680848.20668,-4345259.37056,3809786.66207,36.9142840648,238.3271029278,-8.67716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01920,-0.04094,-0.00031,0.00118,0.00100,0.00480,-0.000,NaN,NaN,20020818120000,20050724120000,4
0501,survey,20011031120000,52213.5000,-2602097.51639,-4579389.23420,3585020.51371,34.4204631022,240.3939242094,5.97154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01792,-0.04433,0.00170,0.00012,0.00011,0.00045,-0.001,NaN,NaN,19920612120000,20150528120000,16
0502,survey,20010201120000,51941.5000,-2657527.19191,-4539533.53030,3595208.37891,34.5310236650,239.6545019111,142.41546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02324,-0.04589,0.00471,0.00037,0.00036,0.00188,-0.000,NaN,NaN,19930320120000,20010201120000,8
0504,survey,20031031120000,52943.5000,-2602484.99070,-4537278.34750,3638445.33110,35.0030558387,240.1623475742,524.25092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01762,-0.04136,0.00138,0.00012,0.00011,0.00051,-0.001,NaN,NaN,19920616120000,20110313120000,19
0505,survey,20010201120000,51941.5000,-2658546.68270,-4498184.08880,3645536.34730,35.0842372770,239.4157808748,31.45589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02369,-0.04501,0.00210,0.00030,0.00027,0.00140,-0.000,NaN,NaN,19930320120000,20011107120000,9
0506,survey,19940315150000,49426.6250,-2625666.55683,-4491308.97843,3678229.29765,35.4423775148,239.6889937445,462.09994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01982,-0.03370,-0.00153,0.00203,0.00271,0.00824,-0.000,NaN,NaN,19940315150000,19940315150000,1
0507,survey,20040714140000,53200.5833,-2679251.83760,-4453876.91001,3684281.83729,35.5122355459,238.9707782467,15.07198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03409,-0.03854,-0.00296,0.00178,0.00196,0.00265,-0.000,NaN,NaN,19940303150000,20040715120000,4
0508,survey,20041002120000,53280.5000,-2650054.01250,-4445627.38879,3715219.35501,35.8547856892,239.2006826361,128.15756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02336,-0.04203,0.00080,0.00036,0.00035,0.00144,-0.000,NaN,NaN,19930315130000,20050721120000,16
0509,survey,20040714140000,53200.5833,-2698442.35250,-4406154.70999,3727706.30300,35.9922334787,238.5156267264,360.47786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02536,-0.04359,-0.00133,0.00030,0.00028,0.00113,-0.000,NaN,NaN,19940302160000,20040715120000,7
0510,survey,20041103120000,53312.5000,-2640304.05561,-4426322.63569,3745291.33270,36.1883155350,239.1838986950,364.04937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02194,-0.04337,0.00067,0.00046,0.00046,0.00176,-0.000,NaN,NaN,19980707120000,20050721120000,23
0512,survey,20020823120000,52509.5000,-2671298.13877,-4389535.22082,3765839.48353,36.4203218453,238.6769539500,27.02264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02535,-0.04235,0.00270,0.00061,0.00082,0.00278,-0.000,NaN,NaN,20020821120000,20020823120000,2
0513,survey,20020822120000,52508.5000,-2692019.67858,-4350192.62171,3796316.40570,36.7627390871,238.2496304584,-26.44876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02306,-0.04299,0.00057,0.00032,0.00029,0.00136,-0.000,NaN,NaN,19960620120000,20041114120000,10
0515,survey,20011107120000,52220.5000,-2578850.84950,-4563298.23560,3623359.56830,34.8352374795,240.5279619378,841.47405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01231,-0.03779,-0.00105,0.00182,0.00149,0.00728,-0.000,NaN,NaN,20011107120000,20040927120000,2
05HK,survey,20040714140000,53200.5833,-2659353.17679,-4483992.72254,3662248.47183,35.2686413037,239.3287931334,13.53854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02438,-0.04271,0.00589,0.00036,0.00031,0.00162,-0.000,NaN,NaN,20040713120000,20110311120000,13
05NE,survey,20030604120000,52794.5000,-2313652.14640,-4799970.74169,3493553.80631,33.4270703670,244.2652915800,-58.97090,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00782,-0.02491,-0.01051,0.00097,0.00093,0.00376,-0.000,NaN,NaN,19951230120000,20030604120000,4
05QJ,survey,20040729120000,53215.5000,-2653011.38191,-4436772.08470,3723644.36099,35.9484597603,239.1222726139,137.68038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02072,-0.05390,-0.01196,0.00204,0.00198,0.00674,-0.000,NaN,NaN,20030116120000,20050721120000,19
